step,sg_loss,cbow_loss,var_loss,lr
19550,3.323157,3.488853,2.420117,0.024996
19600,3.290964,3.449642,2.398219,0.024996
19650,3.400592,3.523197,2.433773,0.024996
19700,3.166517,3.257642,2.313123,0.024996
19750,3.277479,3.414312,2.397124,0.024996
19800,3.292709,3.364254,2.383816,0.024996
19850,3.238683,3.408605,2.389221,0.024996
19900,3.313634,3.464870,2.423767,0.024996
19950,3.329869,3.502421,2.411343,0.024996
20000,3.247271,3.360431,2.386906,0.024996
20000,3.247271,3.360431,2.386906,0.024996,0.000000,0.119075,0.195111,0.076036
20050,3.352219,3.492064,2.435689,0.024996
20100,3.340696,3.544741,2.442556,0.024996
20150,3.354733,3.578291,2.457155,0.024996
20200,3.249301,3.376765,2.368220,0.024996
20250,3.213504,3.335582,2.360316,0.024996
20300,3.298053,3.484186,2.424343,0.024996
20350,3.220919,3.335125,2.358101,0.024996
20400,3.324430,3.501133,2.424711,0.024996
20450,3.328283,3.437168,2.411890,0.024996
20500,3.394470,3.588864,2.460830,0.024996
20550,3.306691,3.504969,2.423504,0.024996
20600,3.286205,3.418649,2.397727,0.024996
20650,3.235625,3.409857,2.374060,0.024996
20700,3.294980,3.392714,2.392692,0.024996
20750,3.247526,3.434212,2.387849,0.024996
20800,3.295020,3.503380,2.413042,0.024996
20850,3.178893,3.331139,2.344389,0.024996
20900,3.207295,3.362570,2.350040,0.024996
20950,3.319328,3.485552,2.422901,0.024996
21000,3.226362,3.377223,2.367450,0.024996
21050,3.191251,3.380357,2.353905,0.024996
21100,3.193220,3.342930,2.349547,0.024995
21150,3.309319,3.483585,2.410190,0.024995
21200,3.423479,3.465803,2.460572,0.024995
21250,3.329704,3.447470,2.407647,0.024995
21300,3.256343,3.380622,2.379904,0.024995
21350,3.287940,3.446659,2.409953,0.024995
21400,3.273976,3.418075,2.379613,0.024995
21450,3.271163,3.393811,2.395627,0.024995
21500,3.227383,3.381921,2.373590,0.024995
21550,3.301865,3.428638,2.394232,0.024995
21600,3.336776,3.550847,2.435107,0.024995
21650,3.264921,3.424142,2.393198,0.024995
21700,3.262139,3.364027,2.373177,0.024995
21750,3.290895,3.450057,2.400028,0.024995
21800,3.239086,3.354707,2.365500,0.024995
21850,3.185279,3.339441,2.345764,0.024995
21900,3.294731,3.469209,2.405081,0.024995
21950,3.334614,3.532371,2.438182,0.024995
22000,3.256163,3.380612,2.381154,0.024995
22050,3.203793,3.325482,2.350800,0.024995
22100,3.240316,3.321484,2.363073,0.024995
22150,3.252847,3.375358,2.368725,0.024995
22200,3.261974,3.356993,2.370129,0.024995
22250,3.271918,3.311724,2.365549,0.024995
22300,3.279871,3.462107,2.402156,0.024995
22350,3.346395,3.554872,2.448827,0.024995
22400,3.261284,3.356223,2.367342,0.024995
22450,3.189332,3.345505,2.348754,0.024995
22500,3.272090,3.433053,2.395934,0.024995
22550,3.245031,3.339120,2.360034,0.024995
22600,3.325720,3.532860,2.431443,0.024995
22650,3.333089,3.428381,2.416739,0.024995
22700,3.228788,3.331650,2.344314,0.024995
22750,3.318305,3.490308,2.401649,0.024995
22800,3.305965,3.494189,2.409708,0.024995
22850,3.309945,3.500538,2.423505,0.024995
22900,3.200504,3.296464,2.336223,0.024994
22950,3.199955,3.342038,2.344252,0.024994
23000,3.304915,3.461512,2.413437,0.024994
23050,3.253327,3.393587,2.373877,0.024994
23100,3.310663,3.470942,2.419971,0.024994
23150,3.248338,3.448725,2.380963,0.024994
23200,3.373432,3.508464,2.434706,0.024994
23250,3.327401,3.383023,2.401558,0.024994
23300,3.382599,3.462635,2.443370,0.024994
23350,3.299984,3.452615,2.408125,0.024994
23400,3.207168,3.361685,2.357428,0.024994
23450,3.327537,3.465416,2.429553,0.024994
23500,3.252152,3.375826,2.375976,0.024994
23550,3.299589,3.520871,2.422199,0.024994
23600,3.297292,3.440560,2.405279,0.024994
23650,3.247775,3.362324,2.360433,0.024994
23700,3.277087,3.416634,2.393508,0.024994
23750,3.233589,3.441599,2.382631,0.024994
23800,3.329712,3.515059,2.435579,0.024994
23850,3.325504,3.501623,2.437314,0.024994
23900,3.305086,3.472056,2.423788,0.024994
23950,3.312813,3.434556,2.402753,0.024994
24000,3.325664,3.469191,2.427325,0.024994
24050,3.265436,3.458207,2.402884,0.024994
24100,3.336296,3.503891,2.439304,0.024994
24150,3.244960,3.385860,2.375434,0.024994
24200,3.256455,3.413072,2.388752,0.024994
24250,3.135467,3.251546,2.321166,0.024994
24300,3.333827,3.452800,2.425079,0.024994
24350,3.302321,3.459628,2.411658,0.024994
24400,3.272463,3.411770,2.380866,0.024994
24450,3.236169,3.356652,2.365671,0.024994
24500,3.225729,3.246993,2.324093,0.024994
24550,3.221800,3.335484,2.361481,0.024993
24600,3.332243,3.428818,2.400004,0.024993
24650,3.311159,3.510794,2.432134,0.024993
24700,3.340164,3.513244,2.425051,0.024993
24750,3.260300,3.350981,2.375380,0.024993
24800,3.251092,3.380060,2.372386,0.024993
24850,3.395740,3.595464,2.454988,0.024993
24900,3.308653,3.460101,2.412119,0.024993
24950,3.293806,3.480885,2.408914,0.024993
25000,3.325259,3.505966,2.424569,0.024993
25000,3.325259,3.505966,2.424569,0.024993,0.100000,0.133400,0.188009,0.054609
25050,3.348184,3.559853,2.438420,0.024993
25100,3.290026,3.503986,2.419201,0.024993
25150,3.204973,3.335723,2.345690,0.024993
25200,3.289520,3.437332,2.400399,0.024993
25250,3.318915,3.414931,2.409900,0.024993
25300,3.199903,3.218332,2.325731,0.024993
25350,3.270527,3.364432,2.368853,0.024993
25400,3.269496,3.410332,2.384609,0.024993
25450,3.240492,3.316782,2.359788,0.024993
25500,3.301331,3.493888,2.409071,0.024993
25550,3.308628,3.494193,2.421456,0.024993
25600,3.310988,3.439499,2.399374,0.024993
25650,3.310958,3.481051,2.423512,0.024993
25700,3.256309,3.363288,2.375931,0.024993
25750,3.271759,3.325837,2.374126,0.024993
25800,3.312604,3.457617,2.406801,0.024993
25850,3.346260,3.555165,2.453737,0.024993
25900,3.246968,3.373312,2.371427,0.024993
25950,3.223574,3.290228,2.352915,0.024993
26000,3.274974,3.389818,2.376485,0.024993
26050,2.814722,2.725602,2.091114,0.024993
26100,3.229972,3.345308,2.358114,0.024992
26150,3.312259,3.519195,2.410449,0.024992
26200,3.269278,3.381133,2.385004,0.024992
26250,3.263183,3.402864,2.375177,0.024992
26300,3.228347,3.384551,2.361979,0.024992
26350,3.293695,3.454096,2.395033,0.024992
26400,3.342465,3.492799,2.422638,0.024992
26450,3.390059,3.598134,2.477482,0.024992
26500,3.318679,3.445399,2.417808,0.024992
26550,3.255072,3.400501,2.381097,0.024992
26600,3.132383,3.231760,2.303472,0.024992
26650,3.297900,3.455861,2.390841,0.024992
26700,3.234484,3.409152,2.370198,0.024992
26750,3.297139,3.506399,2.413352,0.024992
26800,3.219747,3.302975,2.361600,0.024992
26850,3.295138,3.353758,2.389128,0.024992
26900,3.377044,3.539446,2.449509,0.024992
