step,loss,masked_loss,unmasked_loss,em_ema,mask_prob,lr
19300,1.423688,1.558842,1.332318,0.284478,0.250000,0.000299
19350,1.350312,1.489216,1.261488,0.390113,0.250000,0.000299
19400,1.204126,1.370203,1.105669,0.359413,0.250000,0.000299
19450,1.000083,1.159752,0.904296,0.411677,0.250000,0.000299
19500,0.779840,0.945172,0.664525,0.564952,0.250000,0.000299
19550,0.673466,0.863958,0.532066,0.671657,0.250000,0.000299
19600,0.526666,0.673986,0.417415,0.696327,0.250000,0.000299
19650,0.358432,0.460084,0.282954,0.739331,0.250000,0.000299
19700,0.519450,0.636156,0.438186,0.499815,0.250000,0.000299
19750,0.905257,1.070166,0.801409,0.501542,0.250000,0.000299
19800,1.147536,1.335818,1.031643,0.341582,0.250000,0.000299
19850,1.224238,1.385651,1.116017,0.369407,0.250000,0.000299
19900,1.628224,1.804065,1.481095,0.297857,0.250000,0.000299
19950,1.616320,1.778305,1.481164,0.354342,0.250000,0.000299
20000,1.268906,1.385030,1.188853,0.389834,0.250000,0.000299
20050,1.224701,1.350091,1.139081,0.450086,0.250000,0.000299
20100,1.049756,1.188651,0.960591,0.512862,0.250000,0.000299
20150,0.918749,1.054896,0.836073,0.523737,0.250000,0.000299
20200,1.133521,1.299263,1.021617,0.358614,0.250000,0.000299
20250,1.193395,1.383085,1.063206,0.406297,0.250000,0.000298
20300,1.147425,1.317752,1.031275,0.375105,0.250000,0.000298
20350,1.252085,1.415838,1.138869,0.365598,0.250000,0.000298
20400,1.263192,1.438790,1.144293,0.374179,0.250000,0.000298
20450,1.371522,1.563075,1.237644,0.366049,0.250000,0.000298
20500,1.416224,1.601379,1.284181,0.418039,0.250000,0.000298
20550,1.355558,1.520953,1.238309,0.414360,0.250000,0.000298
20600,1.263384,1.426224,1.150209,0.414666,0.250000,0.000298
20650,1.166691,1.325363,1.058432,0.457146,0.250000,0.000298
20700,1.125341,1.256097,1.034013,0.432808,0.250000,0.000298
20750,1.038191,1.150875,0.962170,0.485198,0.250000,0.000298
20800,0.958113,1.069561,0.890758,0.473395,0.250000,0.000298
20850,1.016918,1.127573,0.951195,0.425257,0.250000,0.000298
20900,1.078176,1.202958,0.998299,0.465917,0.250000,0.000298
